measure_event_type,measure_event_id,measure_event_performed_on_date,batch_id,batch_name,cultivar_id,cultivar_name,location_id,location_name,work_order_id,work_order_name,work_order_type_id,work_order_type_name,work_order_start_date,work_order_close_date,substance_type_id,substance_type_name,measure_event_value,measure_event_unit,,,,,,,
WO - OUTPUT,281294,2021-11-25 12:38:13,15530,Black Do-Lato Trials 06/30/21,7864,NN4,,,23543,Black Do-Lato Trials 06/30/21 Drying #1,446,Drying,2021-11-11 12:33:27,2021-11-25 12:39:32,819,Dried Cannabis,2022,g,,,,,,,
WO - OUTPUT,281305,2021-11-25 12:40:49,15531,Soul Magic Trials 06/30/21,7863,NN3,,,23546,Soul Magic Trials 06/30/21 Drying #1,446,Drying,2021-11-11 12:40:03,2021-11-25 12:42:06,819,Dried Cannabis,964,g,,,,,,,
WO - OUTPUT,281317,2021-11-25 12:43:06,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,,,23547,Sour Apple Truffle Trial 06/30/21 Drying #1,446,Drying,2021-11-11 12:42:42,2021-11-29 12:43:43,819,Dried Cannabis,1118,g,,,,,,,
WO - OUTPUT,281322,2021-11-25 12:44:27,15533,Shaq Fu Trial 06/30/21,7861,NN1,,,23548,Shaq Fu Trial 06/30/21 Drying #1,446,Drying,2021-11-11 12:43:59,2021-11-25 12:44:59,819,Dried Cannabis,1838,g,,,,,,,
WO - OUTPUT,281329,2021-11-25 12:45:53,15534,Space Cake Trials 07/06/21,7869,Space Cake,,,23549,Space Cake Trials 07/06/21 Drying #1,446,Drying,2021-11-11 12:45:25,2021-11-25 12:57:03,819,Dried Cannabis,2674,g,,,,,,,
WO - OUTPUT,325844,2021-12-31 9:31:26,15533,Shaq Fu Trial 06/30/21,7861,NN1,1356,202 - Post-harvest processing,27374,Machine Trimming,1141,Trimming Work Order,2021-12-31 9:26:14,2022-01-04 9:34:10,819,Dried Cannabis,1728,g,,,,,,,
WO - OUTPUT,325854,2021-12-31 9:38:12,15532,Sour Apple Truffle Trial 06/30/21,7862,NN2,1356,202 - Post-harvest processing,27376,Trimming Dec 31 2021,1141,Trimming Work Order,2021-12-31 9:37:02,2022-01-04 9:40:37,819,Dried Cannabis,984,g,,,,,,,
WO - OUTPUT,325865,2021-12-31 9:42:36,15531,Soul Magic Trials 06/30/21,7863,NN3,1356,202 - Post-harvest processing,27378,Trimming December 31 2021,1141,Trimming Work Order,2021-12-31 9:41:15,2022-01-06 15:54:03,819,Dried Cannabis,886,g,,,,,,,
WO - OUTPUT,325911,2021-12-30 10:16:03,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,1356,202 - Post-harvest processing,27382,Trimming concluded on Dec 30 2021,1141,Trimming Work Order,2021-12-30 10:14:53,2022-01-06 15:52:00,819,Dried Cannabis,50318,g,,,,,,,
WO - OUTPUT,331989,2022-01-04 13:55:24,15530,Black Do-Lato Trials 06/30/21,7864,NN4,1356,202 - Post-harvest processing,27729,January 4 Black Do Lado trimming,1141,Trimming Work Order,2022-01-04 13:52:55,2022-01-06 15:50:53,819,Dried Cannabis,1842,g,,,,,,,
WO - OUTPUT,332197,2022-01-05 15:20:46,15529,Black Hammer Trials 06/30/21,7865,NN5,1356,202 - Post-harvest processing,27742,Trimming work order for January 5th,1141,Trimming Work Order,2022-01-05 15:20:07,2022-01-06 15:49:35,819,Dried Cannabis,1076,g,,,,,,,
WO - OUTPUT,332203,2022-01-05 15:31:32,15528,Black Wine Trials 06/30/21,7866,NN6,1356,202 - Post-harvest processing,27743,January 5th Trimming,1141,Trimming Work Order,2022-01-05 15:28:50,2022-01-06 15:48:50,819,Dried Cannabis,1038,g,,,,,,,
WO - OUTPUT,333204,2022-01-07 11:56:13,24058,Phenotype Mix Batch (Lilac Diesel),11921,MIXED,1356,202 - Post-harvest processing,27828,Phenotype homogenization Jan 7,1157,Homogenization,2022-01-07 10:41:50,2022-01-07 12:10:03,819,Dried Cannabis,7588,g,,,,,,,
WO - OUTPUT,334217,2022-01-07 16:15:56,24058,Phenotype Mix Batch (Lilac Diesel),11921,MIXED,1356,202 - Post-harvest processing,27840,Milling event January 7,1158,Milling,2022-01-07 12:35:04,2022-01-07 16:17:28,819,Dried Cannabis,7558,g,,,,,,,
WO - OUTPUT,336072,2022-01-10 13:38:23,15527,Blue Lime Pi 9 07/20/21 (Zkittlez Glue),4494,Blue Lime Pi,1356,202 - Post-harvest processing,28125,Dried Cannabis Receiving Form,1162,Dried Cannabis Receiving Form,2022-01-10 13:37:13,2022-01-10 14:46:33,819,Dried Cannabis,13136,g,,,,,,,
WO - OUTPUT,347901,2022-01-11 21:14:38,24058,Phenotype Mix Batch (Lilac Diesel),11921,MIXED,1357,203 - Secure storage,28331,Mixed Phenotype retention sample 2022-01-11,776,Internal Retention Sample,2022-01-11 15:16:58,2022-01-20 9:15:19,1345,Internal Retention Sample,200,g,,,,,,,
