performed_on,recorded_on,cts_field,batch_id,batch_name,cultivar_id,cultivar_name,growth_stage_id,growth_stage_name,work_order_id,work_order,work_order_type_id,work_order_type,work_order_opened_at,work_order_closed_at,total
2021-12-21 19:17:15,2021-12-21 19:17:23,Additions - Growth Stage,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,569,Vegetative,26057,Receive Plants,208,Propagation,2021-12-21T19:16:57.411Z,2021-12-21T19:17:35.011Z,214
2021-12-21 19:17:15,2021-12-21 19:17:23,Additions - Growth Stage,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,569,Vegetative,26057,Receive Plants,208,Propagation,2021-12-21T19:16:57.411Z,2021-12-21T19:17:35.011Z,276
2021-12-21 19:17:15,2021-12-21 19:17:23,Additions - Plant Batch,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,569,Vegetative,26057,Receive Plants,208,Propagation,2021-12-21T19:16:57.411Z,2021-12-21T19:17:35.011Z,490
2022-01-17 18:50:09,2022-01-17 18:50:11,Additions - Growth Stage,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,567,Cutting,29142,Mango Merengue Import,334,Plant Import,2022-01-17T18:48:13.120Z,2022-01-18T18:04:40.516Z,500
2022-01-17 18:50:09,2022-01-17 18:50:11,Additions - Plant Batch,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,567,Cutting,29142,Mango Merengue Import,334,Plant Import,2022-01-17T18:48:13.120Z,2022-01-18T18:04:40.516Z,500
2022-01-19 18:07:33,2022-01-21 18:07:36,Reductions - Growth Stage,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,569,Vegetative,29840,Advance Growth Stage for Space Cake 1 - 2021/11/25,852,Advance Growth Stage,2022-01-19T18:07:33.000Z,2022-01-19T18:07:33.000Z,-432
2022-01-19 18:07:33,2022-01-21 18:07:36,Additions - Growth Stage,22162,Space Cake 1 - 2021/11/25,7869,Space Cake,662,Flowering,29840,Advance Growth Stage for Space Cake 1 - 2021/11/25,852,Advance Growth Stage,2022-01-19T18:07:33.000Z,2022-01-19T18:07:33.000Z,432
2022-01-19 22:38:32,2022-01-20 22:38:34,Reductions - Growth Stage,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,567,Cutting,29748,Advance Growth Stage for Mango Merengue 2 2022-01-17,852,Advance Growth Stage,2022-01-19T22:38:32.000Z,2022-01-19T22:38:32.000Z,-500
2022-01-19 22:38:32,2022-01-20 22:38:34,Additions - Growth Stage,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,569,Vegetative,29748,Advance Growth Stage for Mango Merengue 2 2022-01-17,852,Advance Growth Stage,2022-01-19T22:38:32.000Z,2022-01-19T22:38:32.000Z,500
2022-02-28 17:09:32,2022-02-28 17:09:34,Reductions - Growth Stage,24430,Mango Merengue 2 2022-01-17,7907,Mango Merengue,569,Vegetative,34849,Advance Growth Stage for Mango Merengue 2 2022-01-17,852,Advance Growth Stage,2022-02-28T17:09:32.925Z,2022-02-28T17:09:32.925Z,-500
